SKU,color,size�,Main Product Title,Variant Compare At Price,Variant Price,Variant Inventory Qty,Image Src
dupatta-monga-water-crush-color-4,Default,MEDIUM,dupatta monga water crush color,6999,3499,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3153.jpg?v=1765456963|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3548.jpg?v=1765456962|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3559.jpg?v=1765456962
dupatta-monga-water-crush-color-3,Default,MEDIUM,dupatta monga water crush color,6999,3499,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3152.jpg?v=1765456833|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3540.jpg?v=1765456833|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3546_a5308da9-6f38-4deb-8dc4-df29f21ff238.jpg?v=1765456833
dupatta-monga-water-crush-color-2,Default,MEDIUM,dupatta monga water crush color,6999,3499,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3149.jpg?v=1765456718|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3510.jpg?v=1765456714|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3518.jpg?v=1765456714
dupatta-monga-water-crush-color-1,Default,MEDIUM,dupatta monga water crush color,5999,2999,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3151.jpg?v=1765456656|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3530.jpg?v=1765456656|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3537.jpg?v=1765456657
dupatta-monga-water-crush-color,Default,MEDIUM,dupatta monga water crush color,5999,2999,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3148.jpg?v=1765456431|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3499.jpg?v=1765456431|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3507.jpg?v=1765456431
dupatta-monga-silver-water-2,Default,MEDIUM,dupatta monga silver & water,6999,3199,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3180_e59572a4-4d6b-4fde-b4f6-96c74edca586.jpg?v=1765454644|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3843.jpg?v=1765454644|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3846_bfa7b6bd-ff2c-4bf6-ad60-f6c5ff1f006a.jpg?v=1765454644
dupatta-monga-silver-water-1,Default,MEDIUM,dupatta monga silver & water,6999,2999,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3179_50c26517-8e68-42f0-bdc4-dec2c98198de.jpg?v=1765454596|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3827.jpg?v=1765454595|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3835_d2f9b181-9d5c-4cba-aa9f-041e0755d8ac.jpg?v=1765454595
dupatta-monga-silver-water,Default,MEDIUM,dupatta monga silver & water,6999,2999,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3178_cffa8ad6-88eb-4b52-addc-0cdca5736163.jpg?v=1765454107|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3815.jpg?v=1765454107|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3818.jpg?v=1765454108
dupatta-monga-silk-stripe-pallu-crush,Default,MEDIUM,dupatta monga silk stripe pallu crush,6999,2999,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3157_1b418f6a-ce6b-4378-ac3e-52f2cc6d788a.jpg?v=1765453577|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3599.jpg?v=1765453576|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3603.jpg?v=1765453577|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3598.jpg?v=1765453576|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3597_ba9a3521-646d-40c3-be7a-354bb03b92e1.jpg?v=1765453576
dupatta-monga-silk-border-buti-pallu-crush,Default,MEDIUM,dupatta monga silk border buti pallu crush,6999,2999,10,https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3159.jpg?v=1765453163|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3623_7a3431ed-4fec-4a15-9649-332d69ef156f.jpg?v=1765453163|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3625_26f249d9-2da4-479a-aaba-31ba30d7e5e0.jpg?v=1765453163|https://cdn.shopify.com/s/files/1/0778/6181/4564/files/IMG_3624.jpg?v=1765453163
